Employee ID,Employee Name,Base Location,Role,Grade,Years of Experience,Department,Base,Other Benefits
Empl 1,Chev Penman,United States,Client Partner,Director,15+,US - East,"$80,000","$4,000"
Empl 2,Jere Cottee,United States,Client Partner,Sr. Director,15+,US - East,"$85,000","$4,250"
Empl 3,Demetria Freen,United States,Client Partner,Director,15+,US - East,"$80,000","$4,000"
Empl 4,Cortney De Wolfe,United States,Client Partner,Sr. Director,15+,US - West,"$95,000","$4,750"
Empl 5,Kenton Pollendine,United States,Client Partner,Director,15+,US - West,"$80,000","$4,000"
Empl 6,Amby Impleton,United States,Client Partner,Sr. Director,15+,US - West,"$95,000","$4,750"
Empl 7,Davidson Sterry,United States,Client Partner,Director,15+,US - Central,"$80,000","$4,000"
Empl 8,Cindie Pitman,United States,Client Partner,Sr. Director,15+,US - Central,"$95,000","$4,750"
Empl 9,Garold Shellcross,United States,Client Partner,Director,15+,US - Central,"$80,000","$4,000"
Empl 10,Morty La Grange,United States,Client Partner,Sr. Director,15+,US - Central,"$95,000","$4,750"
